Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City
"Đường Phú Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",54.0,5.8,3.0,Tây - Bắc,Tây - Bắc,4.0,6.0,6.0,Have certificate,Full,8.8,Hà Nội
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",36.0,3.8,2.2,Nam,,5.0,,,Have certificate,Basic,3.85,Hà Nội
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",41.0,,3.5,,,5.0,4.0,4.0,Have certificate,Full,10.0,Hà Nội
"Yên Nghĩa, Hà Đông, Hà Nội",35.0,,,,,4.0,3.0,3.0,Have certificate,Basic,2.9,Hà Nội
"Dự án The Beverly - Vinhomes Grand Park, Đường 108, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",46.0,,30.0,Đông - Bắc,Đông - Bắc,,1.0,1.0,Sale contract,Basic,4.3,Hồ Chí Minh
"Phụng Châu, Chương Mỹ, Hà Nội",38.0,,,,,3.0,3.0,3.0,Have certificate,Full,2.1,Hà Nội
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",45.0,5.0,6.0,Bắc,Bắc,3.0,3.0,4.0,Have certificate,,5.95,Hồ Chí Minh
"Dự án Vạn Xuân Tam Bình, Đường 7, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",143.9,,,,,4.0,4.0,5.0,,,9.5,Hồ Chí Minh
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",81.3,,,,,5.0,,,,,9.7,Hà Nội
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",38.0,,,,,2.0,1.0,1.0,,,4.1,Hồ Chí Minh
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40.0,4.1,6.0,Tây - Nam,Tây - Nam,4.0,3.0,4.0,Have certificate,,7.7,Hồ Chí Minh
"Đường Quốc Lộ 22, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",113.0,,,,,,,,Have certificate,,6.2,Hồ Chí Minh
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.1,4.0,4.5,Đông - Bắc,Đông - Bắc,3.0,3.0,4.0,Have certificate,Full,10.0,Hồ Chí Minh
"Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh",100.0,5.0,,Đông - Nam,,3.0,5.0,3.0,,,8.1,Hồ Chí Minh
"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",30.0,,6.0,,,3.0,,,Have certificate,Full,7.15,Hồ Chí Minh
"Ngõ 401, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",52.7,7.0,3.0,,,5.0,6.0,,,Full,7.6,Hà Nội
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",73.0,5.0,,,,4.0,4.0,4.0,,,9.5,Hà Nội
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",80.0,,,,,,,,Have certificate,,10.0,Hà Nội
"Ngõ 7, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",52.0,4.0,3.0,,,4.0,4.0,4.0,,,6.5,Hà Nội
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45.0,6.0,3.0,,,4.0,4.0,4.0,Have certificate,,7.65,Hà Nội
"Dự án HUD Me Linh Central, Xã Thanh Lâm, Mê Linh, Hà Nội",120.0,,,,,3.0,4.0,3.0,,,8.4,Hà Nội
"240/, Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",64.0,4.0,,,,3.0,4.0,3.0,Have certificate,,4.7,Hồ Chí Minh
"Đường Nguyễn Trãi, Phường Nhân Chính, Thanh Xuân, Hà Nội",50.0,3.7,3.5,,,5.0,7.0,6.0,Have certificate,,8.9,Hà Nội
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",36.0,7.0,3.0,Tây - Nam,Tây - Nam,5.0,3.0,4.0,Have certificate,Full,5.6,Hà Nội
"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",156.0,,,,,2.0,,,Sale contract,,7.8,Hồ Chí Minh
"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",99.4,4.0,,Đông - Bắc,Đông - Bắc,2.0,,2.0,Have certificate,Full,9.5,Hà Nội
"Đường Mỗ Lao, Phường Văn Quán, Hà Đông, Hà Nội",33.0,,,Tây - Nam,,5.0,,,Have certificate,Basic,4.95,Hà Nội
"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",100.0,,,,,,,,,,7.5,Hà Nội
"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",34.0,,2.0,,,4.0,3.0,,,Full,2.9,Hà Nội
"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",100.0,20.0,12.0,Bắc,Bắc,3.0,4.0,5.0,Have certificate,Basic,6.5,Hồ Chí Minh
"Đường Phạm Văn Hai, Phường 3, Tân Bình, Hồ Chí Minh giá 2tỷ380",74.02,5.3,5.0,,,3.0,,,Have certificate,Full,2.38,Hồ Chí Minh
"Dự án Him Lam Thường Tín, Đường ĐT 427B, Thị trấn Thường Tín, Thường Tín, Hà Nội",87.0,5.0,33.0,Đông - Nam,Tây - Bắc,5.0,5.0,5.0,Have certificate,,10.0,Hà Nội
"D16/22/ ấp 4b, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",56.0,5.0,5.0,Bắc,,,,,,,2.7,Hồ Chí Minh
"Dự án D-Aqua, Đường Bến Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",58.0,,,,,,,,Sale contract,Basic,4.61,Hồ Chí Minh
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",35.0,5.0,2.0,,,5.0,5.0,4.0,Have certificate,Full,6.85,Hà Nội
"Hẻm 350, Đường Nguyễn Văn Lượng, Phường 16, Gò Vấp, Hồ Chí Minh",50.4,,5.0,,,3.0,4.0,4.0,Have certificate,Basic,3.75,Hồ Chí Minh
"Hẻm 36/ Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh",54.0,,5.0,,,3.0,4.0,4.0,Have certificate,Full,4.3,Hồ Chí Minh
"HXH 330/, Đường Phan Đình Phùng, Phường 1, Phú Nhuận, Hồ Chí Minh",57.4,,,,,3.0,3.0,2.0,Have certificate,Basic,4.05,Hồ Chí Minh
"Số 9 ngõ 197, Đường Lâm Du, Phường Bồ Đề, Long Biên, Hà Nội",56.0,3.82,2.5,Đông - Nam,,5.0,6.0,5.0,Have certificate,Full,6.5,Hà Nội
"Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",51.75,4.5,6.0,Tây - Nam,Tây - Nam,4.0,4.0,5.0,Have certificate,,9.2,Hồ Chí Minh
"Đường Ái Mộ, Phường Bồ Đề, Long Biên, Hà Nội",27.0,4.0,10.0,,,5.0,4.0,5.0,Have certificate,Full,7.65,Hà Nội
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",115.0,,,,,,,,,Full,9.55,Hồ Chí Minh
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",81.0,,18.5,,,5.0,,,,,9.9,Hà Nội
"Phường 11, Tân Bình, Hồ Chí Minh",55.0,4.5,5.0,,,,,,,,6.8,Hồ Chí Minh
"Hẻm 47/, Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",56.25,4.5,5.0,,,3.0,4.0,3.0,Have certificate,Basic,4.29,Hồ Chí Minh
"30/2, Đường Số 47, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",65.0,,,,,2.0,3.0,3.0,,,4.0,Hồ Chí Minh
"Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",80.0,8.0,8.0,Nam,Nam,5.0,5.0,6.0,,,6.5,Hồ Chí Minh
"Phố Yên Duyên, Phường Yên Sở, Hoàng Mai, Hà Nội",33.0,3.0,2.0,Tây - Bắc,Tây - Bắc,5.0,3.0,4.0,Have certificate,Full,4.48,Hà Nội
"Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",38.0,4.2,6.0,Đông - Bắc,Đông - Bắc,4.0,3.0,4.0,Have certificate,Full,6.78,Hồ Chí Minh
"Dự án Ny'ah Bình Tây, Đường Nguyễn Văn Luông, Phường 11, Quận 6, Hồ Chí Minh",42.0,,,,,3.0,2.0,,Have certificate,,6.5,Hồ Chí Minh
"Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội",30.0,3.4,3.0,,,6.0,4.0,5.0,,Full,5.65,Hà Nội
"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",43.5,,2.0,Tây - Nam,Tây - Nam,4.0,3.0,4.0,Have certificate,Basic,6.2,Hồ Chí Minh
"189/16, Đường Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh",23.9,3.5,,,,2.0,2.0,2.0,,,4.2,Hồ Chí Minh
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",78.7,4.0,,Đông - Nam,,,,,Have certificate,,5.5,Hồ Chí Minh
"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",72.0,4.0,5.0,,,2.0,4.0,4.0,Have certificate,Full,6.7,Hồ Chí Minh
"Đường Đê Mới, Xã Phụng Châu, Chương Mỹ, Hà Nội",60.0,,3.0,,,4.0,4.0,3.0,Have certificate,Basic,2.65,Hà Nội
"Dự án PiCity High Park, Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",200.0,,,,,2.0,3.0,3.0,,,10.0,Hồ Chí Minh
"Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội",36.0,4.0,3.0,,,5.0,4.0,4.0,Have certificate,Basic,6.0,Hà Nội
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",100.0,,20.0,Nam,Nam,3.0,4.0,4.0,Have certificate,Full,8.49,Hồ Chí Minh
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",78.0,,,,,3.0,3.0,3.0,Have certificate,Full,5.8,Hà Nội
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",132.0,4.0,8.0,,,2.0,3.0,2.0,,,7.0,Hồ Chí Minh
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",102.0,,3.0,,,1.0,2.0,1.0,Have certificate,,6.8,Hồ Chí Minh
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",101.0,7.1,2.5,,,3.0,4.0,3.0,Have certificate,,6.6,Hồ Chí Minh
"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh",81.0,8.0,8.0,Bắc,Bắc,1.0,1.0,1.0,,,5.8,Hồ Chí Minh
"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",35.0,,,,,5.0,4.0,3.0,Have certificate,,3.5,Hà Nội
"Dự án Mega Ruby, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",75.0,5.0,24.0,,,3.0,3.0,3.0,Have certificate,Full,7.7,Hồ Chí Minh
"Đường Tân Kỳ Tân Quý, Phường Tân Quý, Tân Phú, Hồ Chí Minh",62.0,,,,,4.0,6.0,4.0,Have certificate,,6.9,Hồ Chí Minh
"Ngõ 387, Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",42.0,3.3,5.0,Nam,,4.0,5.0,4.0,Have certificate,Full,8.8,Hà Nội
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",143.0,5.0,6.0,,,4.0,4.0,4.0,Have certificate,Full,9.3,Hồ Chí Minh
"Phường Thạch Bàn, Long Biên, Hà Nội",33.0,4.5,2.5,Nam,Nam,5.0,3.0,4.0,Have certificate,Full,4.15,Hà Nội
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",31.0,,,,,5.0,,,Have certificate,,2.9,Hà Nội
"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",83.6,,,Tây,,4.0,4.0,5.0,Have certificate,,8.6,Hồ Chí Minh
"Số 7H/15/351, Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",56.0,4.8,3.0,Đông - Nam,Đông - Nam,6.0,4.0,4.0,Have certificate,,5.3,Hà Nội
"Ngõ 18, Đường Ngô Quyền, Phường Quang Trung, Hà Đông, Hà Nội",55.0,4.0,5.0,,,5.0,6.0,5.0,Have certificate,Full,8.3,Hà Nội
"Đường 5, Phường Bình Trưng Tây, Thủ Đức, Hồ Chí Minh",50.0,9.0,,Nam,Nam,2.0,2.0,2.0,Have certificate,,3.9,Hồ Chí Minh
"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",65.0,,8.0,,,4.0,4.0,5.0,,,4.2,Hồ Chí Minh
"Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",60.0,,,,,,,,Have certificate,,4.3,Hà Nội
"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",33.0,,,,,,1.0,1.0,Sale contract,,1.4,Hà Nội
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",60.0,,2.0,,,3.0,3.0,3.0,Have certificate,,4.7,Hà Nội
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",70.0,,,,,5.0,5.0,4.0,,,6.9,Hà Nội
"Hẻm 183, Đường 3/2, Phường 11, Quận 10, Hồ Chí Minh",40.0,,5.0,Tây,,4.0,5.0,4.0,Have certificate,Full,9.1,Hồ Chí Minh
"Số 3/83 ngõ 61, Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",40.0,,,Đông - Nam,,5.0,6.0,3.0,,,6.25,Hà Nội
"Đường An Dương Vương, Phường 10, Quận 6, Hồ Chí Minh",66.0,4.0,12.0,,,4.0,5.0,3.0,Have certificate,,8.95,Hồ Chí Minh
"89, Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",35.0,,,,,4.0,4.0,3.0,Have certificate,Full,6.25,Hà Nội
"Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",74.0,,,,,2.0,4.0,3.0,Have certificate,Full,6.83,Hồ Chí Minh
"Hẻm 701, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",45.0,,,,,2.0,2.0,2.0,Have certificate,,4.4,Hồ Chí Minh
"Phường Thạch Bàn, Long Biên, Hà Nội",70.0,,,,,,,,Have certificate,Basic,6.8,Hà Nội
"Dự án The Origami, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",45.0,,24.0,Đông - Nam,,,,,Sale contract,Basic,7.0,Hồ Chí Minh
"Đường Phố Trạm, Phường Thạch Bàn, Long Biên, Hà Nội",48.0,,2.5,,,4.0,5.0,,Have certificate,Basic,6.4,Hà Nội
"Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",56.1,4.2,,,,4.0,4.0,3.0,Have certificate,,6.3,Hồ Chí Minh
"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",40.0,,,,,5.0,,,,,7.48,Hà Nội
"Xã Đông La, Hoài Đức, Hà Nội",36.5,3.6,4.0,,,6.0,3.0,4.0,Have certificate,Basic,4.1,Hà Nội
"Phường Thạch Bàn, Long Biên, Hà Nội",36.0,,,,,4.0,,,Have certificate,,7.49,Hà Nội
"Đường Trương Phước Phan, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",64.0,4.0,6.0,Tây,Tây,5.0,4.0,5.0,Have certificate,Basic,6.7,Hồ Chí Minh
"Số 43A ngõ 88, Phố Kim Hoa, Phường Phương Liên, Đống Đa, Hà Nội",12.0,3.0,3.0,Đông - Bắc,Đông - Bắc,5.0,3.0,4.0,,,1.8,Hà Nội
"Phố Cầu Cốc, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",53.0,4.3,22.0,Đông,Đông,5.0,6.0,5.0,Have certificate,Basic,6.39,Hà Nội
"168/86// Đường Bình Trị Đông, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",96.0,5.5,,Đông - Nam,,2.0,5.0,5.0,Have certificate,Full,8.5,Hồ Chí Minh
"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",31.0,6.2,6.0,Tây - Bắc,Tây - Bắc,3.0,4.0,3.0,Have certificate,Full,6.8,Hồ Chí Minh
"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",56.0,3.85,2.8,,,4.0,4.0,5.0,Have certificate,Full,8.5,Hà Nội
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",116.8,,,,,,3.0,2.0,Have certificate,,7.3,Hà Nội
"Đường Mã Lò, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",64.0,4.0,6.0,,,5.0,6.0,6.0,Have certificate,Full,5.98,Hồ Chí Minh
"Đường Gò Dầu, Phường Tân Thành, Tân Phú, Hồ Chí Minh",50.0,,,,,4.0,4.0,4.0,,,7.0,Hồ Chí Minh
"Đường Cầu Giấy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",70.0,6.6,,,,,,,,,9.6,Hà Nội
"Five Star Kim Giang, Đường Kim Giang, Phường Kim Giang, Thanh Xuân, Hà Nội",55.0,5.0,3.0,,,5.0,4.0,5.0,Have certificate,Full,6.8,Hà Nội
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",37.0,4.0,,,,6.0,3.0,3.0,Have certificate,Full,5.6,Hà Nội
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",45.0,3.5,2.0,Đông - Nam,Đông - Bắc,4.0,4.0,3.0,Have certificate,Basic,4.95,Hà Nội
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",30.0,6.0,2.0,Đông,Đông,6.0,3.0,4.0,Have certificate,Basic,4.6,Hà Nội
"Phường Bồ Đề, Quận Long Biên, Hà Nội",45.0,,,,,5.0,3.0,4.0,Have certificate,Full,5.7,Hà Nội
"Đường Mai Hiên, Xã Mai Lâm, Đông Anh, Hà Nội",46.5,5.0,,,,3.0,3.0,,,,2.8,Hà Nội
"Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",68.0,4.0,5.0,,,1.0,3.0,3.0,Have certificate,,2.8,Hồ Chí Minh
"Đường 826C, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh",40.0,,,Đông,Đông,2.0,2.0,2.0,Have certificate,,1.38,Hồ Chí Minh
"Phố Đại La, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",32.0,,,,,5.0,3.0,4.0,Have certificate,Full,5.7,Hà Nội
"Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh",75.0,8.0,3.0,Đông - Nam,,1.0,3.0,1.0,Have certificate,Full,2.35,Hồ Chí Minh
"Dự án Dragon Village, Đường 990, Phường Phú Hữu, Quận 9, Hồ Chí Minh",90.0,6.0,30.0,Tây - Nam,Tây - Nam,3.0,3.0,4.0,Have certificate,,5.8,Hồ Chí Minh
"Đường Phạm Hùng, Phường 9, Quận 8, Hồ Chí Minh",86.0,4.0,3.0,,,2.0,8.0,2.0,,,7.6,Hồ Chí Minh
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",42.0,5.6,3.0,Đông,Đông,5.0,3.0,4.0,Have certificate,Basic,8.5,Hà Nội
"Đường Bùi Quang Là, Phường 12, Gò Vấp, Hồ Chí Minh",53.0,,5.0,Tây - Bắc,,2.0,4.0,3.0,Have certificate,,4.35,Hồ Chí Minh
"Đường Ngọc Trục, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",33.0,3.3,3.5,,,4.0,4.0,4.0,Have certificate,,5.4,Hà Nội
"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",40.0,4.25,3.0,Tây - Nam,Tây - Nam,5.0,4.0,4.0,Have certificate,Full,6.3,Hà Nội
"Dự án KDC Bình Hưng, Đường Quốc Lộ 50, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",72.0,,10.0,,,3.0,4.0,4.0,Have certificate,,8.35,Hồ Chí Minh
"Đường Lê Đình Cẩn, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",40.0,,6.0,,,1.0,2.0,2.0,Have certificate,Full,2.35,Hồ Chí Minh
"Đường Lạc Long Quân, Phường 8, Tân Bình, Hồ Chí Minh",20.0,,,,,3.0,2.0,2.0,Have certificate,Full,2.8,Hồ Chí Minh
"Ngõ 271, Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",91.0,5.0,,,,,,,Sale contract,,3.5,Hà Nội
"Đường Lạc Thị, Xã Ngọc Hồi, Thanh Trì, Hà Nội",45.0,4.0,5.0,Đông - Nam,,5.0,,,,,4.5,Hà Nội
"Đường 7, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",52.0,4.5,8.0,Bắc,Bắc,4.0,4.0,3.0,Have certificate,Basic,7.2,Hồ Chí Minh
"Phường Yên Nghĩa, Hà Đông, Hà Nội",34.0,,,,,4.0,3.0,4.0,Have certificate,Full,2.95,Hà Nội
"Xã Phụng Châu, Chương Mỹ, Hà Nội",34.0,4.25,3.0,Bắc,Bắc,3.0,3.0,3.0,Have certificate,Basic,2.1,Hà Nội
"Đường Trịnh Như Khuê, Xã Bình Chánh, Bình Chánh, Hồ Chí Minh",98.4,,12.0,Tây - Bắc,Tây - Bắc,1.0,3.0,2.0,Have certificate,Full,1.19,Hồ Chí Minh
"Phố Tôn Đức Thắng, Phường Văn Chương, Đống Đa, Hà Nội",20.0,3.6,15.0,Đông - Nam,Đông - Nam,4.0,3.0,,Have certificate,Basic,3.6,Hà Nội
"Đường Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",26.4,4.0,,Tây - Bắc,,3.0,2.0,1.0,,,3.85,Hồ Chí Minh
"551/263, Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",60.0,5.0,9.0,Đông - Nam,,3.0,4.0,5.0,Have certificate,,5.6,Hồ Chí Minh
"Đường Lê Văn Chí, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",51.0,4.2,12.0,Tây - Nam,Tây - Nam,2.0,3.0,4.0,Have certificate,Basic,6.0,Hồ Chí Minh
"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",35.0,,,,,3.0,,,Have certificate,,5.65,Hà Nội
"Tổ 9, Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",34.0,8.1,,,,5.0,4.0,4.0,Have certificate,,8.0,Hà Nội
"Xã Đông La, Hoài Đức, Hà Nội",40.0,3.7,4.0,Đông - Nam,Đông - Nam,6.0,4.0,4.0,Have certificate,Basic,3.25,Hà Nội
"Đường Thịnh Quang, Phường Thịnh Quang, Đống Đa, Hà Nội",55.0,,,,,6.0,8.0,6.0,Have certificate,Full,7.6,Hà Nội
"Đường Quốc Lộ 13, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",60.0,4.5,6.0,,,4.0,4.0,4.0,Have certificate,Basic,6.5,Hồ Chí Minh
"Xã Đông La, Huyện Hoài Đức, Hà Nội",40.0,,,,,4.0,4.0,4.0,Have certificate,Basic,2.5,Hà Nội
"Đường Tỉnh Lộ 422B, Xã Vân Canh, Hoài Đức, Hà Nội",30.0,3.4,4.0,Tây - Nam,Tây - Nam,5.0,3.0,4.0,Have certificate,Full,4.1,Hà Nội
"Đường Vĩnh Khánh, Phường 10, Quận 4, Hồ Chí Minh",11.0,3.0,,,,3.0,2.0,2.0,Have certificate,Full,1.85,Hồ Chí Minh
"Đường Nguyễn Ảnh Thủ, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",110.0,4.4,7.0,,,2.0,2.0,2.0,Have certificate,,5.0,Hồ Chí Minh
"22/30, Đường 21, Phường 8, Gò Vấp, Hồ Chí Minh",54.0,,5.0,,,4.0,4.0,4.0,,,5.7,Hồ Chí Minh
